Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,15.819200,15.819200,14.312600,14.850700,14.812973,407867
2015-01-05,14.958300,14.958300,14.312600,14.527800,14.490892,928377
2015-01-06,14.527800,14.958300,14.312600,14.743100,14.705646,386949
2015-01-07,14.958300,15.388800,14.743100,15.173500,15.134953,743623
2015-01-08,15.388800,15.604000,14.850700,15.496400,15.457032,326855
2015-01-09,15.281100,15.604000,14.958300,15.388800,15.349705,195765
2015-01-12,15.173500,15.281100,14.743100,14.958300,14.920299,405274
2015-01-13,14.958300,15.065900,14.312600,14.420200,14.383566,377415
2015-01-14,14.312600,14.420200,13.774500,14.097400,14.061585,486611
2015-01-15,13.989800,14.420200,13.882200,14.097400,14.061585,580977
2015-01-16,14.205000,14.527800,13.989800,14.205000,14.168913,486258
2015-01-19,14.205000,14.312600,13.774500,14.097400,14.061585,228335
2015-01-20,14.312600,14.743100,14.097400,14.312600,14.276239,440669
2015-01-21,14.635500,15.173500,14.527800,14.958300,14.920299,440316
2015-01-22,15.065900,16.034401,14.958300,15.604000,15.564359,757897
2015-01-23,15.496400,16.464899,15.388800,15.496400,15.457032,337625
2015-01-26,15.388800,15.496400,14.958300,15.281100,15.242279,340970
2015-01-27,15.173500,15.388800,14.420200,14.527800,14.490892,525398
2015-01-28,14.420200,14.527800,13.882200,13.989800,13.954260,423636
2015-01-29,13.989800,14.420200,13.666900,14.205000,14.168913,545442
2015-01-30,13.882200,13.989800,13.451700,13.882200,13.846933,502288
2015-02-02,13.666900,14.205000,13.451700,13.666900,13.632179,285224
2015-02-03,14.097400,14.743100,14.097400,14.527800,14.490892,392283
2015-02-04,14.635500,14.743100,13.666900,13.774500,13.739506,492308
2015-02-05,13.774500,14.312600,13.666900,14.312600,14.276239,268786
2015-02-06,14.097400,14.097400,13.666900,14.097400,14.061585,210494
2015-02-09,13.882200,14.205000,13.774500,13.882200,13.846933,265766
2015-02-10,13.882200,13.989800,13.666900,13.666900,13.632179,208719
2015-02-11,13.666900,13.882200,13.451700,13.451700,13.417526,344678
2015-02-12,13.774500,14.097400,13.021200,13.451700,13.417526,320182
2015-02-13,13.666900,14.958300,13.344100,14.312600,14.276239,813921
2015-02-18,14.527800,15.711600,14.527800,15.604000,15.564359,261500
2015-02-19,15.604000,15.711600,15.173500,15.281100,15.242279,227992
2015-02-20,15.388800,15.388800,14.743100,14.958300,14.920299,203543
2015-02-23,14.850700,15.173500,14.743100,15.065900,15.027625,234329
2015-02-24,15.173500,15.173500,14.850700,15.173500,15.134953,322896
2015-02-25,14.958300,15.604000,14.743100,15.496400,15.457032,236308
2015-02-26,15.496400,16.357300,15.388800,16.142000,16.100992,356247
2015-02-27,16.357300,16.895300,14.743100,15.065900,15.027625,665771
2015-03-02,15.065900,15.819200,14.527800,14.743100,14.705646,369442
2015-03-03,14.850700,15.281100,14.527800,14.958300,14.920299,374172
2015-03-04,14.743100,14.958300,14.635500,14.958300,14.920299,249327
2015-03-05,14.958300,15.065900,14.312600,14.420200,14.383566,403769
2015-03-06,14.420200,14.743100,13.989800,14.205000,14.168913,422976
2015-03-09,14.097400,14.205000,13.882200,14.097400,14.061585,317701
2015-03-10,14.097400,14.205000,13.021200,13.021200,12.988120,1092650
2015-03-11,13.236500,13.236500,12.806000,12.913600,12.880794,710793
2015-03-12,13.128900,13.236500,12.806000,12.913600,12.880794,729155
2015-03-13,12.913600,13.666900,12.913600,13.666900,13.632179,781871
2015-03-16,13.666900,13.989800,13.021200,13.128900,13.095546,349500
2015-03-17,13.128900,13.559300,13.128900,13.236500,13.202873,374822
2015-03-18,13.344100,14.097400,13.236500,13.989800,13.954260,259521
2015-03-19,13.882200,14.205000,13.666900,13.882200,13.846933,277929
2015-03-20,14.097400,14.312600,13.882200,13.989800,13.954260,341388
2015-03-23,13.989800,14.527800,13.666900,14.420200,14.383566,367565
2015-03-24,14.527800,14.743100,14.312600,14.635500,14.598319,490793
2015-03-25,14.743100,15.173500,14.743100,14.958300,14.920299,533455
2015-03-26,14.958300,15.065900,14.635500,14.850700,14.812973,270969
2015-03-27,14.958300,15.065900,14.850700,14.958300,14.920299,464012
2015-03-30,14.958300,15.496400,14.850700,15.388800,15.349705,403434
2015-03-31,15.173500,15.711600,15.065900,15.496400,15.457032,409465
2015-04-01,15.604000,16.034401,15.388800,15.819200,15.779012,273720
2015-04-02,16.034401,16.464899,15.711600,16.249701,16.208418,368318
2015-04-06,16.464899,17.110600,16.249701,16.464899,16.423071,451197
2015-04-07,16.464899,16.680099,15.604000,16.357300,16.315744,611168
2015-04-08,16.680099,16.787701,15.711600,16.680099,16.637724,661961
2015-04-09,16.464899,17.003000,16.357300,16.572500,16.530397,270635
2015-04-10,16.680099,17.541000,16.464899,17.325800,17.281784,405692
2015-04-13,17.541000,18.186701,16.895300,18.186701,18.140497,497112
2015-04-14,18.294300,18.401899,17.110600,17.541000,17.496437,487299
2015-04-15,17.541000,18.079100,17.218201,17.648600,17.603764,621046
2015-04-16,17.648600,18.940001,17.648600,18.617201,18.569904,468249
2015-04-17,18.401899,19.155199,18.186701,18.832399,18.784555,352808
2015-04-20,18.940001,19.370399,18.401899,18.617201,18.569904,383018
2015-04-22,18.832399,19.155199,18.401899,18.940001,18.891884,462776
2015-04-23,18.832399,19.478100,18.724800,19.370399,19.321190,333461
2015-04-24,19.262800,20.231400,19.262800,19.585699,19.535942,504667
2015-04-27,20.339001,20.339001,18.617201,19.478100,19.428616,506414
2015-04-28,19.585699,19.585699,18.079100,18.832399,18.784555,472700
2015-04-29,18.401899,18.401899,17.541000,17.541000,17.496437,351554
2015-04-30,17.756300,20.123800,17.648600,19.908501,19.857924,849130
2015-05-04,20.123800,20.554199,19.693300,19.908501,19.857924,370120
2015-05-05,20.016100,20.339001,19.585699,19.908501,19.857924,292444
2015-05-06,19.800900,19.908501,19.155199,19.908501,19.857924,353505
2015-05-07,19.908501,20.877001,19.693300,20.016100,19.965250,459236
2015-05-08,20.769400,21.199900,19.908501,20.016100,19.965250,492131
2015-05-11,20.123800,20.231400,19.585699,20.123800,20.072676,313975
2015-05-12,19.908501,20.123800,19.155199,19.262800,19.213863,330860
2015-05-13,19.478100,19.585699,18.617201,18.724800,18.677231,227099
2015-05-14,19.047600,19.478100,18.724800,19.370399,19.321190,231049
2015-05-15,19.370399,19.908501,19.047600,19.693300,19.643270,219099
2015-05-18,19.478100,19.800900,19.047600,19.047600,18.999210,177450
2015-05-19,19.262800,19.262800,18.294300,18.509501,18.462479,281219
2015-05-20,18.294300,18.617201,18.186701,18.617201,18.569904,203023
2015-05-21,18.294300,18.832399,18.079100,18.832399,18.784555,139954
2015-05-22,18.724800,18.832399,17.756300,18.401899,18.355150,552179
2015-05-25,17.971500,18.617201,17.863899,18.401899,18.355150,193516
2015-05-26,18.186701,18.509501,17.541000,17.971500,17.925844,318501
2015-05-27,17.971500,18.186701,17.110600,18.186701,18.140497,327291
2015-05-28,17.971500,18.401899,17.541000,17.756300,17.711191,295604
2015-05-29,18.186701,18.509501,16.787701,16.787701,16.745052,653021
2015-06-01,17.110600,17.218201,16.572500,16.895300,16.852379,216395
2015-06-02,16.895300,17.863899,16.787701,17.541000,17.496437,223689
2015-06-03,17.433399,17.756300,17.110600,17.110600,17.067131,355968
2015-06-05,17.003000,17.541000,16.895300,17.541000,17.496437,182170
2015-06-08,17.541000,17.863899,17.218201,17.218201,17.174458,259298
2015-06-09,17.325800,17.648600,17.110600,17.433399,17.389111,177970
2015-06-10,17.433399,17.756300,17.325800,17.325800,17.281784,202474
2015-06-11,17.433399,17.541000,16.680099,16.787701,16.745052,271880
2015-06-12,16.787701,16.895300,16.357300,16.464899,16.423071,756995
2015-06-15,16.357300,16.680099,16.249701,16.464899,16.423071,446263
2015-06-16,16.464899,16.680099,16.249701,16.357300,16.315744,148206
2015-06-17,16.357300,16.464899,16.142000,16.357300,16.315744,412531
2015-06-18,16.249701,16.464899,16.249701,16.464899,16.423071,153940
2015-06-19,16.249701,16.464899,16.249701,16.464899,16.423071,212241
2015-06-22,16.464899,16.680099,16.357300,16.357300,16.315744,70632
2015-06-23,16.464899,16.680099,16.249701,16.357300,16.315744,208877
2015-06-24,16.357300,16.572500,16.142000,16.249701,16.208418,376895
2015-06-25,16.249701,16.357300,16.142000,16.142000,16.100992,212194
2015-06-26,16.249701,16.895300,16.249701,16.680099,16.637724,182700
2015-06-29,16.464899,16.464899,16.034401,16.464899,16.423071,227871
2015-06-30,16.464899,17.110600,16.249701,17.110600,17.067131,264418
2015-07-01,17.110600,17.433399,16.357300,17.110600,17.067131,417549
2015-07-02,17.110600,17.325800,16.680099,16.895300,16.852379,327468
2015-07-03,16.572500,16.787701,16.249701,16.572500,16.530397,859250
2015-07-06,16.464899,16.895300,16.249701,16.895300,16.852379,151012
2015-07-07,16.572500,16.572500,16.034401,16.249701,16.208418,339306
2015-07-08,16.142000,17.756300,16.034401,17.756300,17.711191,436943
2015-07-10,17.863899,18.186701,17.218201,17.325800,17.281784,266370
2015-07-13,17.433399,18.294300,17.218201,18.294300,18.247824,379125
2015-07-14,18.186701,18.401899,17.648600,18.294300,18.247824,262457
2015-07-15,19.262800,19.585699,18.401899,18.617201,18.569904,586366
2015-07-16,18.724800,19.478100,18.724800,19.478100,19.428616,455602
2015-07-17,19.262800,19.478100,18.832399,18.832399,18.784555,186733
2015-07-20,18.940001,18.940001,18.294300,18.940001,18.891884,293987
2015-07-21,18.832399,19.478100,18.617201,19.370399,19.321190,283561
2015-07-22,19.262800,19.370399,18.832399,19.047600,18.999210,211014
2015-07-23,18.832399,19.047600,17.756300,17.971500,17.925844,279342
2015-07-24,18.186701,18.186701,16.895300,17.325800,17.281784,378168
2015-07-27,17.325800,17.863899,16.680099,17.863899,17.818516,146310
2015-07-28,17.971500,18.186701,17.218201,17.325800,17.281784,240063
2015-07-29,17.325800,18.401899,16.895300,17.971500,17.925844,255785
2015-07-30,18.294300,18.401899,17.541000,17.756300,17.711191,139676
2015-07-31,17.971500,18.617201,17.541000,18.509501,18.462479,199176
2015-08-03,18.294300,18.832399,18.079100,18.509501,18.462479,210475
2015-08-04,18.617201,18.832399,17.756300,17.971500,17.925844,141887
2015-08-05,18.186701,19.047600,18.186701,18.940001,18.891884,403471
2015-08-06,18.832399,19.047600,18.617201,18.832399,18.784555,295687
2015-08-07,18.617201,18.940001,17.971500,18.401899,18.355150,315267
2015-08-10,18.617201,18.724800,17.541000,17.648600,17.603764,362510
2015-08-11,17.325800,17.541000,16.680099,17.325800,17.281784,521811
2015-08-12,17.110600,17.541000,16.357300,17.325800,17.281784,405450
2015-08-13,17.433399,17.433399,16.680099,16.895300,16.852379,247840
2015-08-14,17.003000,17.110600,16.249701,16.464899,16.423071,603158
2015-08-17,16.249701,16.895300,16.249701,16.357300,16.315744,323574
2015-08-18,16.464899,16.572500,16.034401,16.034401,15.993666,301096
2015-08-19,16.034401,16.464899,15.819200,16.142000,16.100992,316150
2015-08-20,16.034401,16.895300,16.034401,16.680099,16.637724,290474
2015-08-21,16.680099,16.680099,15.926800,16.249701,16.208418,238241
2015-08-24,15.604000,16.249701,14.958300,16.034401,15.993666,364331
2015-08-25,16.357300,16.464899,15.496400,15.496400,15.457032,350392
2015-08-26,15.819200,16.464899,15.604000,16.464899,16.423071,342410
2015-08-27,16.464899,16.895300,16.034401,16.357300,16.315744,360902
2015-08-28,16.034401,16.680099,15.926800,16.680099,16.637724,312628
