Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,1.550000,1.550000,1.540000,1.540000,1.057334,800
2015-01-05,1.550000,1.550000,1.545000,1.545000,1.060767,800
2015-01-06,1.545000,1.545000,1.545000,1.545000,1.060767,0
2015-01-07,1.570000,1.570000,1.550000,1.550000,1.064200,45600
2015-01-08,1.550000,1.550000,1.550000,1.550000,1.064200,0
2015-01-09,1.550000,1.550000,1.550000,1.550000,1.064200,0
2015-01-12,1.550000,1.550000,1.550000,1.550000,1.064200,0
2015-01-13,1.550000,1.550000,1.550000,1.550000,1.064200,0
2015-01-14,1.350000,1.440000,1.250000,1.415000,0.971511,112600
2015-01-15,1.400000,1.400000,1.205000,1.250000,0.858226,39800
2015-01-16,1.225000,1.560000,1.155000,1.540000,1.057334,126800
2015-01-19,1.540000,1.540000,1.540000,1.540000,1.057334,0
2015-01-20,1.530000,1.535000,1.455000,1.535000,1.053901,7200
2015-01-21,1.525000,1.525000,1.525000,1.525000,1.047035,1000
2015-01-22,1.480000,1.480000,1.360000,1.400000,0.961213,27000
2015-01-23,1.410000,1.560000,1.315000,1.560000,1.071066,47200
2015-01-26,1.525000,1.595000,1.500000,1.595000,1.095096,13000
2015-01-27,1.595000,1.595000,1.320000,1.320000,0.906286,202000
2015-01-28,1.325000,1.400000,1.305000,1.400000,0.961213,11200
2015-01-29,1.400000,1.400000,1.400000,1.400000,0.961213,0
2015-01-30,1.340000,1.390000,1.340000,1.390000,0.954347,8600
2015-02-02,1.330000,1.390000,1.330000,1.385000,0.950914,6400
2015-02-03,1.385000,1.410000,1.385000,1.410000,0.968079,9600
2015-02-04,1.410000,1.410000,1.395000,1.395000,0.957780,42000
2015-02-05,1.395000,1.395000,1.380000,1.380000,0.947481,3200
2015-02-06,1.385000,1.385000,1.325000,1.375000,0.944048,8200
2015-02-09,1.380000,1.410000,1.380000,1.410000,0.968079,3600
2015-02-10,1.400000,1.400000,1.395000,1.395000,0.957780,34400
2015-02-11,1.395000,1.395000,1.300000,1.300000,0.892555,38400
2015-02-12,1.375000,1.375000,1.375000,1.375000,0.944048,1600
2015-02-13,1.375000,1.375000,1.365000,1.365000,0.937182,22600
2015-02-18,1.375000,1.390000,1.335000,1.390000,0.954347,7000
2015-02-19,1.390000,1.390000,1.390000,1.390000,0.954347,0
2015-02-20,1.390000,1.390000,1.390000,1.390000,0.954347,600
2015-02-23,1.290000,1.365000,1.290000,1.350000,0.926884,12200
2015-02-24,1.390000,1.390000,1.300000,1.300000,0.892555,55400
2015-02-25,1.295000,1.365000,1.295000,1.365000,0.937182,4400
2015-02-26,1.350000,1.485000,1.350000,1.430000,0.981810,174400
2015-02-27,1.470000,1.500000,1.400000,1.400000,0.961213,178200
2015-03-02,1.400000,1.475000,1.400000,1.475000,1.012706,7600
2015-03-03,1.415000,1.450000,1.415000,1.450000,0.995542,4000
2015-03-04,1.475000,1.475000,1.455000,1.455000,0.998975,41800
2015-03-05,1.455000,1.455000,1.455000,1.455000,0.998975,1400
2015-03-06,1.455000,1.455000,1.455000,1.455000,0.998975,600
2015-03-09,1.455000,1.455000,1.455000,1.455000,0.998975,0
2015-03-10,1.455000,1.455000,1.455000,1.455000,0.998975,0
2015-03-11,1.455000,1.455000,1.455000,1.455000,0.998975,0
2015-03-12,1.470000,1.470000,1.470000,1.470000,1.009273,17000
2015-03-13,1.470000,1.470000,1.470000,1.470000,1.009273,0
2015-03-16,1.350000,1.465000,1.350000,1.465000,1.005841,2200
2015-03-17,1.375000,1.525000,1.375000,1.525000,1.047035,5000
2015-03-18,1.525000,1.525000,1.525000,1.525000,1.047035,0
2015-03-19,1.525000,1.525000,1.525000,1.525000,1.047035,0
2015-03-20,1.525000,1.525000,1.525000,1.525000,1.047035,0
2015-03-23,1.450000,1.450000,1.450000,1.450000,0.995542,2000200
2015-03-24,1.450000,1.455000,1.400000,1.455000,0.998975,1434000
2015-03-25,1.455000,1.455000,1.455000,1.455000,0.998975,0
2015-03-26,1.575000,1.575000,1.575000,1.575000,1.081364,1000
2015-03-27,1.575000,1.575000,1.575000,1.575000,1.081364,0
2015-03-30,1.615000,1.615000,1.615000,1.615000,1.108828,200
2015-03-31,1.480000,1.545000,1.480000,1.545000,1.060767,50600
2015-04-01,1.545000,1.545000,1.545000,1.545000,1.060767,0
2015-04-02,1.540000,1.545000,1.500000,1.545000,1.060767,4000
2015-04-06,1.500000,1.545000,1.500000,1.545000,1.060767,1800
2015-04-07,1.545000,1.545000,1.545000,1.545000,1.060767,600
2015-04-08,1.500000,1.525000,1.500000,1.525000,1.047035,1000
2015-04-09,1.525000,1.525000,1.525000,1.525000,1.047035,0
2015-04-10,1.525000,1.525000,1.525000,1.525000,1.047035,0
2015-04-13,1.525000,1.525000,1.525000,1.525000,1.047035,0
2015-04-14,1.520000,1.520000,1.520000,1.520000,1.043602,800
2015-04-15,1.425000,1.520000,1.415000,1.520000,1.043602,746800
2015-04-16,1.520000,1.520000,1.520000,1.520000,1.043602,0
2015-04-17,1.520000,1.520000,1.520000,1.520000,1.043602,2600
2015-04-20,1.520000,1.520000,1.520000,1.520000,1.043602,0
2015-04-22,1.525000,1.525000,1.520000,1.520000,1.043602,42000
2015-04-23,1.435000,1.475000,1.425000,1.425000,0.978377,839600
2015-04-24,1.480000,1.520000,1.480000,1.520000,1.043602,6400
2015-04-27,1.520000,1.520000,1.505000,1.505000,1.033304,1800
2015-04-28,1.405000,1.475000,1.405000,1.470000,1.104262,18000
2015-04-29,1.470000,1.470000,1.470000,1.470000,1.104262,0
2015-04-30,1.500000,1.520000,1.500000,1.520000,1.141822,2400
2015-05-04,1.440000,1.500000,1.425000,1.475000,1.108018,23200
2015-05-05,1.450000,1.490000,1.450000,1.490000,1.119286,502000
2015-05-06,1.475000,1.485000,1.455000,1.485000,1.115530,21400
2015-05-07,1.485000,1.485000,1.485000,1.485000,1.115530,0
2015-05-08,1.485000,1.485000,1.485000,1.485000,1.115530,0
2015-05-11,1.485000,1.495000,1.485000,1.495000,1.123042,14000
2015-05-12,1.495000,1.495000,1.495000,1.495000,1.123042,0
2015-05-13,1.435000,1.475000,1.435000,1.475000,1.108018,6400
2015-05-14,1.475000,1.475000,1.475000,1.475000,1.108018,0
2015-05-15,1.475000,1.475000,1.475000,1.475000,1.108018,800
2015-05-18,1.475000,1.475000,1.475000,1.475000,1.108018,0
2015-05-19,1.475000,1.475000,1.475000,1.475000,1.108018,2400
2015-05-20,1.485000,1.485000,1.440000,1.475000,1.108018,40400
2015-05-21,1.475000,1.475000,1.475000,1.475000,1.108018,200
2015-05-22,1.445000,1.470000,1.440000,1.440000,1.081726,1200
2015-05-25,1.480000,1.480000,1.480000,1.480000,1.111774,200
2015-05-26,1.440000,1.480000,1.425000,1.480000,1.111774,9000
2015-05-27,1.470000,1.470000,1.470000,1.470000,1.104262,400
2015-05-28,1.465000,1.465000,1.465000,1.465000,1.100506,40600
2015-05-29,1.440000,1.440000,1.370000,1.370000,1.029142,2053600
2015-06-01,1.370000,1.420000,1.300000,1.310000,0.984070,1109600
2015-06-02,1.415000,1.415000,1.405000,1.405000,1.055434,12600
2015-06-03,1.410000,1.410000,1.365000,1.365000,1.025386,12800
2015-06-05,1.400000,1.400000,1.320000,1.390000,1.044166,24000
2015-06-08,1.395000,1.395000,1.395000,1.395000,1.047922,1400
2015-06-09,1.415000,1.415000,1.415000,1.415000,1.062946,3400
2015-06-10,1.400000,1.400000,1.350000,1.350000,1.014118,1800
2015-06-11,1.385000,1.390000,1.375000,1.375000,1.032898,1200
2015-06-12,1.370000,1.370000,1.370000,1.370000,1.029142,1000
2015-06-15,1.405000,1.405000,1.405000,1.405000,1.055434,5600
2015-06-16,1.335000,1.335000,1.335000,1.335000,1.002850,1600
2015-06-17,1.370000,1.395000,1.350000,1.360000,1.021630,44000
2015-06-18,1.410000,1.425000,1.400000,1.425000,1.070458,5200
2015-06-19,1.350000,1.355000,1.305000,1.325000,0.995338,41800
2015-06-22,1.390000,1.395000,1.390000,1.395000,1.047922,6000
2015-06-23,1.340000,1.340000,1.340000,1.340000,1.006606,2000
2015-06-24,1.375000,1.375000,1.375000,1.375000,1.032898,2000
2015-06-25,1.415000,1.415000,1.415000,1.415000,1.062946,800
2015-06-26,1.380000,1.445000,1.365000,1.445000,1.085482,6600
2015-06-29,1.370000,1.465000,1.370000,1.465000,1.100506,7400
2015-06-30,1.395000,1.440000,1.350000,1.350000,1.014118,36400
2015-07-01,1.350000,1.350000,1.350000,1.350000,1.014118,0
2015-07-02,1.380000,1.380000,1.380000,1.380000,1.036654,1000
2015-07-03,1.380000,1.380000,1.380000,1.380000,1.036654,0
2015-07-06,1.375000,1.375000,1.345000,1.345000,1.010362,13000
2015-07-07,1.345000,1.345000,1.300000,1.345000,1.010362,1000
2015-07-08,1.345000,1.345000,1.345000,1.345000,1.010362,0
2015-07-10,1.345000,1.345000,1.345000,1.345000,1.010362,0
2015-07-13,1.340000,1.345000,1.280000,1.345000,1.010362,3400
2015-07-14,1.345000,1.345000,1.345000,1.345000,1.010362,0
